ID=1|Order=1|Name=VTV1
ID=2|Order=2|Name=VTV2
ID=3|Order=3|Name=VTV3
ID=4|Order=4|Name=VTV4
ID=5|Order=6|Name=VTV5
ID=7|Order=7|Name=VTV5 Tây Nam Bộ
ID=163|Order=8|Name=VTV5 Tây Nguyên
ID=27|Order=9|Name=VTV7
ID=36|Order=10|Name=VTV8
ID=39|Order=11|Name=VTV9
ID=6|Order=12|Name=VTV10
ID=13|Order=13|Name=VTV6
ID=89|Order=34|Name=Truyền hình Công an Nhân dân
ID=103|Order=35|Name=Truyền hình Quốc phòng Việt Nam
ID=111|Order=36|Name=Truyền hình Hà Nội 1
ID=17|Order=37|Name=Truyền hình Hà Nội 2
ID=185|Order=38|Name=Truyền hình Hưng Yên
ID=181|Order=39|Name=Truyền hình Thanh Hóa
ID=121|Order=40|Name=Truyền hình Nghệ An
ID=229|Order=41|Name=Truyền hình Phú Thọ
ID=231|Order=42|Name=Truyền hình An Giang
ID=183|Order=43|Name=Truyền hình Ninh Bình
ID=119|Order=44|Name=Truyền hình Quảng Ninh 1
ID=175|Order=45|Name=Truyền hình Đà Nẵng 1
ID=248|Order=46|Name=Truyền hình Quảng Nam
ID=234|Order=47|Name=Truyền hình Đồng Nai 1
ID=133|Order=48|Name=Truyền hình Đồng Tháp 1
ID=125|Order=49|Name=Truyền hình Khánh Hòa
ID=228|Order=50|Name=Truyền hình Lai Châu
ID=222|Order=51|Name=Truyền hình Tây Ninh 2
ID=255|Order=52|Name=Truyền hình Tây Ninh 1
ID=238|Order=53|Name=Truyền hình Thái Nguyên
ID=127|Order=54|Name=Đài PTTH tỉnh Thừa Thiên Huế
ID=218|Order=55|Name=Truyền hình Cà Mau
ID=221|Order=56|Name=Truyền hình Đắk Lắk
ID=143|Order=57|Name=Truyền hình Hải Phòng 3
ID=179|Order=58|Name=Truyền hình Bình Dương 1
ID=230|Order=59|Name=Truyền hình Điện Biên
ID=219|Order=60|Name=Truyền hình Bắc Ninh
ID=253|Order=61|Name=Truyền hình Bà Rịa Vũng Tàu
ID=254|Order=62|Name=Truyền hình Sơn La
ID=235|Order=63|Name=Truyền hình Tuyên Quang
ID=223|Order=64|Name=Truyền hình Gia Lai
ID=236|Order=65|Name=Truyền hình Quảng Trị
ID=247|Order=66|Name=Truyền hình Lào Cai
ID=129|Order=129|Name=Truyền hình Thái Bình
ID=18|Order=188|Name=Truyền hình Phú Yên
ID=220|Order=220|Name=Truyền hình Bạc Liêu
ID=224|Order=224|Name=Truyền hình Lâm Đồng
ID=225|Order=225|Name=Truyền hình Hòa Bình
ID=226|Order=226|Name=Truyền hình Hà Giang
ID=227|Order=227|Name=Truyền hình Bến Tre
ID=232|Order=232|Name=Truyền hình Trà Vinh
ID=237|Order=237|Name=Truyền hình Bình Định
ID=239|Order=239|Name=Truyền hình Quảng Trị
ID=240|Order=240|Name=Truyền hình Kon Tum
ID=241|Order=241|Name=Truyền hình Sóc Trăng
ID=242|Order=242|Name=Truyền hình Bắc Cạn
ID=243|Order=243|Name=Truyền hình Cần Thơ 1
ID=244|Order=244|Name=Truyền hình Cần Thơ 2
ID=245|Order=245|Name=Truyền hình Bình Thuận
ID=246|Order=246|Name=Truyền hình Kiên Giang
ID=250|Order=250|Name=Truyền hình Đăk Nông
ID=252|Order=252|Name=Truyền hình Ninh Thuận
ID=117|Order=326|Name=Truyền hình Hậu Giang
ID=123|Order=334|Name=Truyền hình Tiền Giang
ID=145|Order=345|Name=Truyền hình Đồng Nai 2
ID=147|Order=347|Name=Truyền hình Vĩnh Phúc
ID=120|Order=443|Name=Truyền hình Quảng Ninh 3
ID=233|Order=445|Name=Truyền hình Quảng Ngãi
ID=249|Order=544|Name=Truyền hình Nam Định
ID=211|Order=545|Name=Truyền hình Bắc Ninh 1
