ID=-2 | Name=Miễn phí | Slug= | isFree=None | isDrm=None
ID=1 | Name=Kênh VTV | Slug=Kênh VTV | isFree=None | isDrm=None
ID=11 | Name=Tin tức | Slug=tin-tuc | isFree=None | isDrm=None
ID=2 | Name=Thiếu nhi | Slug=thieu-nhi | isFree=None | isDrm=None
ID=5 | Name=Phim truyện | Slug=phim-truyen | isFree=None | isDrm=None
ID=7 | Name=Kênh địa phương | Slug=Kênh địa phương | isFree=None | isDrm=None
ID=7808454 | Name=Kênh thiết yếu | Slug=kenh-thit-yu | isFree=None | isDrm=None
ID=7808461 | Name=Sự kiện trực tiếp | Slug=su-kien-truc-tiep | isFree=None | isDrm=None
ID=7808462 | Name=Kênh Vĩnh Long | Slug=kenh-vinh-long | isFree=None | isDrm=None
ID=8 | Name=Thể thao | Slug=the-thao | isFree=None | isDrm=None
ID=tab_live | Name=menu tab | Slug=None | isFree=None | isDrm=None
ID=10001 | Name=TV360+ 12 | Slug=tv360-12 | isFree=0 | isDrm=3
ID=10007 | Name=France 24 SD | Slug=france-24-sd | isFree=1 | isDrm=0
ID=10008 | Name=360 Hoa Ngữ | Slug=360-hoa-ngu | isFree=0 | isDrm=0
ID=10009 | Name=360 Hành động Châu Á | Slug=360-hanh-dong-chau-a | isFree=0 | isDrm=0
ID=10010 | Name=360 K-Drama | Slug=360-k-drama | isFree=0 | isDrm=0
ID=10011 | Name=360 Hài -Tình cảm | Slug=360-hai-tinh-cam | isFree=0 | isDrm=0
ID=10012 | Name=360 Phim Kinh điển | Slug=360-phim-kinh-dien | isFree=0 | isDrm=0
ID=10013 | Name=360 Anime | Slug=360-anime | isFree=0 | isDrm=0
ID=10014 | Name=360 C1 Châu Âu | Slug=360-c1-chau-au | isFree=0 | isDrm=0
ID=10015 | Name=360 C2 Châu Âu | Slug=360-c2-chau-au | isFree=0 | isDrm=0
ID=10016 | Name=360 C3 Châu Âu | Slug=360-c3-chau-au | isFree=0 | isDrm=0
ID=10017 | Name=360 Thể Thao Châu Á | Slug=360-the-thao-chau-a | isFree=0 | isDrm=0
ID=10018 | Name=360 Công Thức 1 | Slug=360-cong-thuc-1 | isFree=0 | isDrm=0
ID=10019 | Name=360 Bundesliga | Slug=360-bundesliga | isFree=0 | isDrm=0
ID=10020 | Name=360 Golf | Slug=360-golf | isFree=0 | isDrm=0
ID=10021 | Name=360 Tennis | Slug=360-tennis | isFree=0 | isDrm=0
ID=10022 | Name=TV360+ 13 | Slug=tv360-13 | isFree=0 | isDrm=3
ID=10023 | Name=TV360+ 14 | Slug=tv360-14 | isFree=0 | isDrm=3
ID=10024 | Name=TV360+ 15 | Slug=tv360-15 | isFree=0 | isDrm=3
ID=10036 | Name=VOH AM610 | Slug=voh-am610 | isFree=1 | isDrm=0
ID=10037 | Name=VOH FM99 | Slug=voh-fm99 | isFree=1 | isDrm=0
ID=10038 | Name=VOH FM87 | Slug=voh-fm87 | isFree=1 | isDrm=0
ID=10039 | Name=VOH FM95 | Slug=voh-fm95 | isFree=1 | isDrm=0
ID=10040 | Name=VOH FM92 Radio | Slug=voh-fm92-radio | isFree=1 | isDrm=0
ID=10043 | Name=VTV6 HD | Slug=vtv6-hd | isFree=0 | isDrm=0
ID=10045 | Name=360 Thiếu Nhi | Slug=360-thieu-nhi | isFree=0 | isDrm=0
ID=10049 | Name=TV360+ 16 | Slug=tv360-16 | isFree=0 | isDrm=0
ID=10055 | Name=360 Phim 4K | Slug=360-phim-4k | isFree=1 | isDrm=0
ID=106 | Name=NHK | Slug=nhk | isFree=1 | isDrm=0
ID=108 | Name=VTV4 HD | Slug=vtv4-hd | isFree=0 | isDrm=0
ID=109 | Name=DW | Slug=dw | isFree=1 | isDrm=0
ID=110 | Name=VTV5 HD | Slug=vtv5-hd | isFree=1 | isDrm=0
ID=111 | Name=Arirang | Slug=arirang | isFree=1 | isDrm=0
ID=112 | Name=Channel News Asia | Slug=channel-news-asia | isFree=1 | isDrm=0
ID=115 | Name=VTV8 HD | Slug=vtv8-hd | isFree=0 | isDrm=0
ID=12 | Name=HTVC phụ Nữ | Slug=htvc-phu-nu | isFree=1 | isDrm=0
ID=13 | Name=HTVC thuần việt | Slug=htvc-thuan-viet | isFree=1 | isDrm=0
ID=132 | Name=HTVC+ Channel B | Slug=htvc | isFree=1 | isDrm=0
ID=133 | Name=HTVC du lịch & cuộc sống | Slug=htvc-du-lich-cuoc-song | isFree=1 | isDrm=0
ID=134 | Name=Quảng Ninh 3 | Slug=quang-ninh-3 | isFree=1 | isDrm=0
ID=136 | Name=O2TV | Slug=o2tv | isFree=1 | isDrm=0
ID=14 | Name=HTVC ca nhạc | Slug=htvc-ca-nhac | isFree=1 | isDrm=0
ID=148 | Name=TV360+ 3 | Slug=tv360-3 | isFree=0 | isDrm=3
ID=15 | Name=HTVC phim truyện HD | Slug=htvc-phim-truyen-hd | isFree=1 | isDrm=0
ID=151 | Name=An Viên HD | Slug=an-vien-hd | isFree=1 | isDrm=0
ID=157 | Name=VTV5 Tây Nam Bộ | Slug=vtv5-tay-nam-bo | isFree=0 | isDrm=0
ID=159 | Name=Cinema World | Slug=cinema-world | isFree=0 | isDrm=3
ID=163 | Name=FashionTV | Slug=fashiontv | isFree=0 | isDrm=3
ID=169 | Name=VTVcab 23 - Golf Channel | Slug=vtvcab-23-golf-channel | isFree=0 | isDrm=0
ID=170 | Name=VTVcab 18 - On Sports News | Slug=vtvcab-18-on-sports-news | isFree=0 | isDrm=3
ID=173 | Name=VTVcab 3 - On Sports | Slug=vtvcab-3-on-sports | isFree=0 | isDrm=3
ID=174 | Name=VTVcab 16 - On Football HD | Slug=vtvcab-16-hd | isFree=0 | isDrm=3
ID=175 | Name=VTVcab 2 - Phim Việt HD | Slug=vtvcab-2-phim-viet-hd | isFree=1 | isDrm=0
ID=176 | Name=VTVcab10 - On Cine HD | Slug=vtvcab10-on-cine-hd | isFree=1 | isDrm=0
ID=177 | Name=VTVcab19 – Vie Dramas | Slug=vtvcab19-vie-dramas | isFree=1 | isDrm=0
ID=178 | Name=VTVcab 8 Bibi SD | Slug=vtvcab-8-bi-bi-sd | isFree=1 | isDrm=0
ID=179 | Name=VTVcab 21- Cartoon Kids HD | Slug=vtvcab-21-cartoon-kids-hd | isFree=1 | isDrm=0
ID=180 | Name=VTVcab 1 - Vie Giải Trí HD | Slug=vtvcab-1-vie-giai-tri-hd | isFree=1 | isDrm=0
ID=181 | Name=Vtvcab 4 – On Movies | Slug=vtvcab-4-on-movies | isFree=1 | isDrm=0
ID=182 | Name=VTVcab 5 - E Channel HD | Slug=vtvcab-5-e-channel-hd | isFree=1 | isDrm=0
ID=183 | Name=VTVcab 6 - On Sports + | Slug=vtvcab-6-on-sports | isFree=0 | isDrm=3
ID=184 | Name=VTVcab 12 - StyleTV HD | Slug=vtvcab-12-styletv-hd | isFree=1 | isDrm=0
ID=185 | Name=VTVcab15 – On Music | Slug=vtvcab15-on-music | isFree=1 | isDrm=0
ID=186 | Name=Vtvcab17 – Trending TV | Slug=vtvcab17-trending-tv | isFree=1 | isDrm=0
ID=187 | Name=VTVcab 20 - V Family HD | Slug=vtvcab-20-v-family-hd | isFree=1 | isDrm=0
ID=188 | Name=VTVcab 22 - Life TV HD | Slug=vtvcab-22-life-tv-hd | isFree=1 | isDrm=0
ID=189 | Name=VTVcab 9 - InfoTV HD | Slug=vtvcab-9-infotv-hd | isFree=1 | isDrm=0
ID=19 | Name=QPVN HD | Slug=qpvn-hd | isFree=1 | isDrm=0
ID=190 | Name=HTV1 | Slug=htv1 | isFree=1 | isDrm=0
ID=191 | Name=HTV2 | Slug=htv2 | isFree=1 | isDrm=0
ID=192 | Name=HTV3 | Slug=htv3 | isFree=1 | isDrm=0
ID=193 | Name=HTV7 HD | Slug=htv7-hd | isFree=1 | isDrm=0
ID=194 | Name=HTV9 HD | Slug=htv9-hd | isFree=1 | isDrm=0
ID=195 | Name=HTV Thể Thao | Slug=htv-the-thao | isFree=0 | isDrm=0
ID=20 | Name=ANTV | Slug=antv | isFree=1 | isDrm=0
ID=201 | Name=SCTV2 - Today TV | Slug=sctv2-today-tv | isFree=1 | isDrm=0
ID=207 | Name=VTV5 Tây Nguyên | Slug=vtv5-tay-nguyen | isFree=0 | isDrm=0
ID=213 | Name=KBS World | Slug=kbs-world | isFree=1 | isDrm=0
ID=214 | Name=DaVinci HD | Slug=davinci-hd | isFree=1 | isDrm=0
ID=215 | Name=AFN HD | Slug=afn-hd | isFree=1 | isDrm=0
ID=216 | Name=Outdoor HD | Slug=outdoor-hd | isFree=1 | isDrm=0
ID=219 | Name=Vĩnh Long 3 | Slug=vinh-long-3 | isFree=1 | isDrm=0
ID=220 | Name=Vĩnh Long 4 | Slug=vinh-long-4 | isFree=1 | isDrm=0
