
   Id Name                       Slug                     
   -- ----                       ----                     
  193 HTV7 HD                    htv7-hd                  
    2 Thiếu nhi                  thieu-nhi                
   11 Tin tức                    tin-tuc                  
   20 ANTV                       antv                     
   19 QPVN HD                    qpvn-hd                  
  110 VTV5 HD                    vtv5-hd                  
 9951 VIETNAM TODAY HD           vietnam-today-hd         
 9902 Phim Việt                  phim-viet                
 9934 Hoạt hình                  hoat-hinh                
10008 360 Hoa Ngữ                360-hoa-ngu              
10045 360 Thiếu Nhi              360-thieu-nhi            
10014 360 C1 Châu Âu             360-c1-chau-au           
10015 360 C2 Châu Âu             360-c2-chau-au           
10016 360 C3 Châu Âu             360-c3-chau-au           
10017 360 Thể Thao Châu Á        360-the-thao-chau-a      
10018 360 Công Thức 1            360-cong-thuc-1          
10019 360 Bundesliga             360-bundesliga           
10020 360 Golf                   360-golf                 
10021 360 Tennis                 360-tennis               
  216 Outdoor HD                 outdoor-hd               
  112 Channel News Asia          channel-news-asia        
  215 AFN HD                     afn-hd                   
   99 HGTV                       hgtv                     
  213 KBS World                  kbs-world                
  109 DW                         dw                       
  106 NHK                        nhk                      
   96 France 24                  france-24                
 9852 TV5                        tv5                      
 9855 CNBC                       cnbc                     
 9856 History HD                 history-hd               
 9901 Kix                        kix                      
10007 France 24 SD               france-24-sd             
  111 Arirang                    arirang                  
  214 DaVinci HD                 davinci-hd               
   25 Vĩnh Long 1                vinh-long-1              
   26 Vĩnh Long 2                vinh-long-2              
  219 Vĩnh Long 3                vinh-long-3              
  220 Vĩnh Long 4                vinh-long-4              
   91 Vĩnh Long 5                vinh-long-5              
  190 HTV1                       htv1                     
  191 HTV2                       htv2                     
  192 HTV3                       htv3                     
    9 HTV4                       htv4                     
  194 HTV9 HD                    htv9-hd                  
   12 HTVC phụ Nữ                htvc-phu-nu              
   13 HTVC thuần việt            htvc-thuan-viet          
   15 HTVC phim truyện HD        htvc-phim-truyen-hd      
   14 HTVC ca nhạc               htvc-ca-nhac             
  132 HTVC+ Channel B            htvc                     
  133 HTVC du lịch & cuộc sống   htvc-du-lich-cuoc-song   
  151 An Viên HD                 an-vien-hd               
 9905 FM90                       fm90                     
 9906 FM96                       fm96                     
10036 VOH AM610                  voh-am610                
10037 VOH FM99                   voh-fm99                 
10038 VOH FM87                   voh-fm87                 
10039 VOH FM95                   voh-fm95                 
10040 VOH FM92 Radio             voh-fm92-radio           
  232 SCTV6                      sctv6                    
  201 SCTV2 - Today TV           sctv2-today-tv           
  180 VTVcab 1 - Vie Giải Trí HD vtvcab-1-vie-giai-tri-hd 
  175 VTVcab 2 - Phim Việt HD    vtvcab-2-phim-viet-hd    
  176 VTVcab10 - On Cine HD      vtvcab10-on-cine-hd      
  177 VTVcab19 – Vie Dramas      vtvcab19-vie-dramas      
  178 VTVcab 8 Bibi SD           vtvcab-8-bi-bi-sd        
  179 VTVcab 21- Cartoon Kids HD vtvcab-21-cartoon-kids-hd
  181 Vtvcab 4 – On Movies       vtvcab-4-on-movies       
  182 VTVcab 5 - E Channel HD    vtvcab-5-e-channel-hd    
  184 VTVcab 12 - StyleTV HD     vtvcab-12-styletv-hd     
  185 VTVcab15 – On Music        vtvcab15-on-music        
  186 Vtvcab17 – Trending TV     vtvcab17-trending-tv     
  187 VTVcab 20 - V Family HD    vtvcab-20-v-family-hd    
  188 VTVcab 22 - Life TV HD     vtvcab-22-life-tv-hd     
  189 VTVcab 9 - InfoTV HD       vtvcab-9-infotv-hd       
  136 O2TV                       o2tv                     
  134 Quảng Ninh 3               quang-ninh-3             
   33 Hà Nội 1                   ha-noi-1                 
   34 Hà Nội 2                   ha-noi-2                 
   35 An Giang 2                 an-giang-2               
   32 HITV                       hitv                     
   39 Bắc Ninh                   bac-ninh                 
   45 Lâm Đồng 2                 lam-dong-2               
   46 Cà Mau                     ca-mau                   
   47 Cần Thơ 1                  can-tho-1                
   48 Cao Bằng                   cao-bang                 
   49 Đà Nẵng 1                  da-nang-1                
   51 Đắk Lắk                    dak-lak                  
   52 Điện Biên                  dien-bien                
   53 Đồng Nai 1                 dong-nai-1               
   54 Đồng Tháp 1                dong-thap-1              
   55 Gia Lai                    gia-lai                  
   58 Hà Tĩnh                    ha-tinh                  
   59 Hải Phòng 3                hai-phong-3              
   60 Hải Phòng                  hai-phong                
   61 Cần Thơ 2                  can-tho-2                
   63 Huế                        hue                      
   64 Hưng Yên                   hung-yen                 
   65 Khánh Hòa                  khanh-hoa                
   66 An Giang 1                 an-giang-1               
   68 Lai Châu                   lai-chau                 
   69 Lâm Đồng 1                 lam-dong-1               
   70 Lạng Sơn                   lang-son                 
   71 Lào Cai                    lao-cai                  
   72 Tây Ninh 1                 tay-ninh-1               
   74 Nghệ An                    nghe-an                  
   75 Ninh Bình                  ninh-binh                
   76 Khánh Hòa 1                khanh-hoa-1              
   77 Phú Thọ                    phu-tho                  
   80 Đà Nẵng 2                  da-nang-2                
   81 Quảng Ngãi                 quang-ngai               
   82 Quảng Ninh 1               quang-ninh-1             
   83 Quảng Trị                  quang-tri                
   84 Cần Thơ 3                  can-tho-3                
   85 Sơn La                     son-la                   
   88 Thái Nguyên                thai-nguyen              
   89 Thanh Hóa                  thanh-hoa                
   90 Đồng Tháp 2                dong-thap-2              
   92 Tuyên Quang                tuyen-quang              
  255 Đồng Nai                   dong-nai                 


